TITLE = vY-vT
Variables = "x [m]", "y [m]","Residuals [K]"
ZONE, i= 24, j= 24, f=point, STRANDID=  1,SOLUTIONTIME=  2.000000E-02
  3.750000E-02   5.750000E-02   2.582773E+03
  3.750000E-02   6.250000E-02   4.672430E+02
  3.750000E-02   6.750000E-02  -6.083855E+02
  3.750000E-02   7.250000E-02   2.222166E+03
  3.750000E-02   7.750000E-02   3.509015E+03
  3.750000E-02   8.250000E-02  -9.903211E+02
  3.750000E-02   8.750000E-02   2.431463E+03
  3.750000E-02   9.250000E-02  -1.991591E+03
  3.750000E-02   9.750000E-02   1.610331E+03
  3.750000E-02   1.025000E-01   1.710660E+03
  3.750000E-02   1.075000E-01   7.166374E+02
  3.750000E-02   1.125000E-01   1.500651E+03
  3.750000E-02   1.175000E-01  -1.924831E+03
  4.250000E-02   2.500000E-03   4.039802E+03
  4.250000E-02   7.500000E-03   1.485529E+03
  4.250000E-02   1.250000E-02   4.462934E+03
  4.250000E-02   1.750000E-02   1.051009E+03
  4.250000E-02   2.250000E-02  -3.252245E+03
  4.250000E-02   2.750000E-02  -4.411356E+03
  4.250000E-02   3.250000E-02  -4.462042E+02
  4.250000E-02   3.750000E-02  -3.098826E+03
  4.250000E-02   4.250000E-02   1.328917E+03
  4.250000E-02   4.750000E-02  -2.923067E+03
  4.250000E-02   5.250000E-02   3.242314E+03
  4.250000E-02   5.750000E-02   2.325816E+03
  4.250000E-02   6.250000E-02  -2.754189E+03
  4.250000E-02   6.750000E-02  -4.920829E+02
  4.250000E-02   7.250000E-02  -2.988063E+02
  4.250000E-02   7.750000E-02   1.035830E+03
  4.250000E-02   8.250000E-02   5.581830E+02
  4.250000E-02   8.750000E-02  -3.788830E+03
  4.250000E-02   9.250000E-02  -1.087388E+03
  4.250000E-02   9.750000E-02   4.145537E+02
  4.250000E-02   1.025000E-01  -5.043799E+03
  4.250000E-02   1.075000E-01   3.479264E+03
  4.250000E-02   1.125000E-01   1.025311E+02
  4.250000E-02   1.175000E-01   1.772435E+03
  4.750000E-02   2.500000E-03  -5.005453E+03
  4.750000E-02   7.500000E-03  -2.137517E+03
  4.750000E-02   1.250000E-02  -3.325901E+03
  4.750000E-02   1.750000E-02   3.127075E+03
  4.750000E-02   2.250000E-02   4.476696E+02
  4.750000E-02   2.750000E-02  -3.435215E+03
  4.750000E-02   3.250000E-02   9.024136E+02
  4.750000E-02   3.750000E-02  -1.507383E+03
  4.750000E-02   4.250000E-02   5.577091E+03
  4.750000E-02   4.750000E-02   1.732960E+03
  4.750000E-02   5.250000E-02  -9.812875E+01
  4.750000E-02   5.750000E-02   4.387003E+03
  4.750000E-02   6.250000E-02  -1.504928E+02
  4.750000E-02   6.750000E-02   4.764519E+03
  4.750000E-02   7.250000E-02   5.545244E+02
  4.750000E-02   7.750000E-02  -3.412623E+02
  4.750000E-02   8.250000E-02   1.505286E+03
  4.750000E-02   8.750000E-02   1.905934E+03
  4.750000E-02   9.250000E-02  -5.292195E+02
  4.750000E-02   9.750000E-02   3.085880E+03
  4.750000E-02   1.025000E-01   1.832845E+03
  4.750000E-02   1.075000E-01  -4.730459E+03
  4.750000E-02   1.125000E-01   3.807393E+03
  4.750000E-02   1.175000E-01  -1.440196E+03
  5.250000E-02   2.500000E-03   3.573717E+03
  5.250000E-02   7.500000E-03   4.805194E+02
  5.250000E-02   1.250000E-02  -3.237548E+02
  5.250000E-02   1.750000E-02   3.469905E+03
  5.250000E-02   2.250000E-02   2.222068E+03
  5.250000E-02   2.750000E-02   4.463182E+03
  5.250000E-02   3.250000E-02  -5.876735E+03
  5.250000E-02   3.750000E-02   3.398644E+03
  5.250000E-02   4.250000E-02  -3.100399E+03
  5.250000E-02   4.750000E-02  -1.473223E+03
  5.250000E-02   5.250000E-02  -1.304039E+03
  5.250000E-02   5.750000E-02  -1.819754E+03
  5.250000E-02   6.250000E-02   2.267410E+03
  5.250000E-02   6.750000E-02   1.665235E+03
  5.250000E-02   7.250000E-02  -5.318506E+03
  5.250000E-02   7.750000E-02   4.920661E+03
  5.250000E-02   8.250000E-02  -1.640770E+03
  5.250000E-02   8.750000E-02   1.056709E+03
  5.250000E-02   9.250000E-02  -2.913685E+03
  5.250000E-02   9.750000E-02  -5.207512E+01
  5.250000E-02   1.025000E-01   2.640288E+02
  5.250000E-02   1.075000E-01  -2.272011E+02
  5.250000E-02   1.125000E-01   1.722534E+03
  5.250000E-02   1.175000E-01   1.595882E+03
  5.750000E-02   2.500000E-03  -3.042415E+03
  5.750000E-02   7.500000E-03   4.468613E+03
  5.750000E-02   1.250000E-02  -2.141898E+03
  5.750000E-02   1.750000E-02   1.988053E+03
  5.750000E-02   2.250000E-02  -4.483682E+03
  5.750000E-02   2.750000E-02  -1.340885E+01
  5.750000E-02   3.250000E-02  -9.825136E+02
  5.750000E-02   3.750000E-02  -3.897086E+03
  5.750000E-02   4.250000E-02   6.602669E+03
  5.750000E-02   4.750000E-02   6.554047E+02
  5.750000E-02   5.250000E-02   1.520852E+03
  5.750000E-02   5.750000E-02   3.367208E+03
  5.750000E-02   6.250000E-02  -1.606551E+03
  5.750000E-02   6.750000E-02   1.323159E+03
  5.750000E-02   7.250000E-02   2.277714E+02
  5.750000E-02   7.750000E-02  -3.244212E+02
  5.750000E-02   8.250000E-02  -1.966987E+02
  5.750000E-02   8.750000E-02  -6.432384E+02
  5.750000E-02   9.250000E-02   2.736916E+03
  5.750000E-02   9.750000E-02  -4.635475E+03
  5.750000E-02   1.025000E-01  -1.226170E+03
  5.750000E-02   1.075000E-01  -1.175663E+03
  5.750000E-02   1.125000E-01  -9.688225E+02
  5.750000E-02   1.175000E-01  -1.732503E+03
  6.250000E-02   2.500000E-03  -1.481677E+03
  6.250000E-02   7.500000E-03  -6.518263E+02
  6.250000E-02   1.250000E-02   2.119690E+02
  6.250000E-02   1.750000E-02   8.479503E+02
  6.250000E-02   2.250000E-02  -3.888871E+02
  6.250000E-02   2.750000E-02   7.014431E+03
  6.250000E-02   3.250000E-02  -1.652350E+03
  6.250000E-02   3.750000E-02   3.059553E+03
  6.250000E-02   4.250000E-02   2.312719E+02
  6.250000E-02   4.750000E-02  -2.811553E+03
  6.250000E-02   5.250000E-02   1.245055E+03
  6.250000E-02   5.750000E-02  -2.732322E+03
  6.250000E-02   6.250000E-02   3.326816E+02
  6.250000E-02   6.750000E-02   4.175713E+03
  6.250000E-02   7.250000E-02  -3.382700E+02
  6.250000E-02   7.750000E-02   2.211378E+03
  6.250000E-02   8.250000E-02  -1.819425E+03
  6.250000E-02   8.750000E-02  -1.146824E+03
  6.250000E-02   9.250000E-02  -7.208123E+02
  6.250000E-02   9.750000E-02   1.390442E+03
  6.250000E-02   1.025000E-01   4.306789E+03
  6.250000E-02   1.075000E-01  -3.578883E+03
  6.250000E-02   1.125000E-01   3.772847E+03
  6.250000E-02   1.175000E-01  -2.860246E+03
  6.750000E-02   2.500000E-03   2.981971E+03
  6.750000E-02   7.500000E-03   3.243924E+01
  6.750000E-02   1.250000E-02  -3.147904E+03
  6.750000E-02   1.750000E-02   2.288900E+03
  6.750000E-02   2.250000E-02  -2.649547E+03
  6.750000E-02   2.750000E-02  -5.963694E+02
  6.750000E-02   3.250000E-02  -1.501511E+02
  6.750000E-02   3.750000E-02  -3.389207E+03
  6.750000E-02   4.250000E-02  -1.095723E+03
  6.750000E-02   4.750000E-02   3.409413E+03
  6.750000E-02   5.250000E-02   2.991760E+03
  6.750000E-02   5.750000E-02  -2.870936E+03
  6.750000E-02   6.250000E-02   5.544204E+03
  6.750000E-02   6.750000E-02  -2.137586E+03
  6.750000E-02   7.250000E-02   1.839427E+03
  6.750000E-02   7.750000E-02  -8.418914E+03
  6.750000E-02   8.250000E-02   4.149028E+03
  6.750000E-02   8.750000E-02   2.689051E+03
  6.750000E-02   9.250000E-02   1.835294E+02
